ELEID,INDEX,KSATV,THETA_S,THETA_R,INFD,ALPA,BETA,HAREAF,KSATMACV
74,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
75,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
76,48,0.55845359,0.44595779,0.01,0.1,4.97835,1.17573,0.01,55.8454
77,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
78,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
79,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
80,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
81,230,1.05228457,0.46075532,0.01,0.1,5.90711,1.19165,0.01,105.2285
82,14,0.39393485,0.42726889,0.01,0.1,5.05111,1.15763,0.01,39.3935
83,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
84,172,0.92906688,0.4383569,0.01,0.1,6.4002,1.2128,0.01,92.9067
85,45,0.44253425,0.42871327,0.01,0.1,5.53971,1.1417,0.01,44.2534
86,370,1.31479217,0.47940307,0.01,0.1,4.84942,1.22056,0.01,131.4792
87,231,0.97782032,0.47892024,0.01,0.1,4.90958,1.19064,0.01,97.782
88,172,0.92906688,0.4383569,0.01,0.1,6.4002,1.2128,0.01,92.9067
89,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
90,288,0.96168763,0.46212925,0.01,0.1,4.8803,1.23574,0.01,96.1688
91,18,0.58491054,0.4285615,0.01,0.1,5.78739,1.17383,0.01,58.4911
92,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
93,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
94,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
95,346,0.94325079,0.44489361,0.01,0.1,5.98136,1.20556,0.01,94.3251
96,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
97,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
98,184,0.57286552,0.46200269,0.01,0.1,4.969,1.16666,0.01,57.2866
99,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
100,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
101,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
102,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
103,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
104,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
105,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
106,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
107,138,0.77238633,0.43738289,0.01,0.1,5.47733,1.24079,0.01,77.2386
108,238,1.12179668,0.45705573,0.01,0.1,5.93583,1.21865,0.01,112.1797
109,138,0.77238633,0.43738289,0.01,0.1,5.47733,1.24079,0.01,77.2386
110,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
111,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
112,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
113,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
114,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
115,69,0.78979529,0.42277454,0.01,0.1,6.64197,1.20762,0.01,78.9795
116,172,0.92906688,0.4383569,0.01,0.1,6.4002,1.2128,0.01,92.9067
117,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
118,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
119,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
120,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
121,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
122,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
123,138,0.77238633,0.43738289,0.01,0.1,5.47733,1.24079,0.01,77.2386
124,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
125,4,0.50822617,0.42686154,0.01,0.1,5.07485,1.19693,0.01,50.8226
126,264,1.03877657,0.4750659,0.01,0.1,4.93345,1.21627,0.01,103.8777
127,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
128,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
129,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
130,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
131,200,0.83719832,0.46318314,0.01,0.1,5.30305,1.18536,0.01,83.7198
132,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
133,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
134,170,0.89250221,0.45948354,0.01,0.1,5.32884,1.21148,0.01,89.2502
135,118,0.82818021,0.41952747,0.01,0.1,6.41865,1.24426,0.01,82.818
136,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
137,275,0.9708216,0.43495507,0.01,0.1,6.18502,1.24896,0.01,97.0822
138,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
139,138,0.77238633,0.43738289,0.01,0.1,5.47733,1.24079,0.01,77.2386
140,69,0.78979529,0.42277454,0.01,0.1,6.64197,1.20762,0.01,78.9795
141,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
142,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
143,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
144,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
145,17,0.54866545,0.41963533,0.01,0.1,5.6209,1.21845,0.01,54.8665
146,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
147,138,0.77238633,0.43738289,0.01,0.1,5.47733,1.24079,0.01,77.2386
148,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
149,7,0.42319901,0.42422567,0.01,0.1,5.07567,1.18209,0.01,42.3199
150,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
151,24,0.65890074,0.42195528,0.01,0.1,5.62,1.23625,0.01,65.8901
152,23,0.53292653,0.42361447,0.01,0.1,4.90423,1.2317,0.01,53.2927
153,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
154,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
155,288,0.96168763,0.46212925,0.01,0.1,4.8803,1.23574,0.01,96.1688
156,5,0.62836167,0.42520236,0.01,0.1,5.81553,1.20081,0.01,62.8362
157,230,1.05228457,0.46075532,0.01,0.1,5.90711,1.19165,0.01,105.2285
158,269,0.90209668,0.46614477,0.01,0.1,4.85669,1.20663,0.01,90.2097
159,60,0.61995658,0.43819983,0.01,0.1,5.7886,1.18958,0.01,61.9957
160,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
161,111,0.41000985,0.41332764,0.01,0.1,5.7816,1.12621,0.01,41.001
162,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
163,87,0.69046194,0.44429861,0.01,0.1,5.64047,1.17918,0.01,69.0462
164,198,0.7082806,0.46034351,0.01,0.1,5.55362,1.16994,0.01,70.8281
165,50,0.73916624,0.44078471,0.01,0.1,5.6679,1.20583,0.01,73.9166
