sdmx-dimension:refPeriod,sdmx-attribute:unitMeasure,dcat-dimension:thing,dcat:measure_1_value,sdmx-attribute:refArea
2012-01-15,SSP/L,Fuel (diesel) - Retail,7.9063,South Sudan - National Average
2012-02-15,SSP/L,Fuel (diesel) - Retail,7.275,South Sudan - National Average
2012-03-15,SSP/L,Fuel (diesel) - Retail,7.4531,South Sudan - National Average
2012-04-15,SSP/L,Fuel (diesel) - Retail,8.1719,South Sudan - National Average
2012-05-15,SSP/L,Fuel (diesel) - Retail,11.9688,South Sudan - National Average
2012-06-15,SSP/L,Fuel (diesel) - Retail,10.2656,South Sudan - National Average
2012-07-15,SSP/L,Fuel (diesel) - Retail,10.3438,South Sudan - National Average
2012-08-15,SSP/L,Fuel (diesel) - Retail,10.8125,South Sudan - National Average
2012-09-15,SSP/L,Fuel (diesel) - Retail,10.125,South Sudan - National Average
2012-10-15,SSP/L,Fuel (diesel) - Retail,10.6875,South Sudan - National Average
2012-11-15,SSP/L,Fuel (diesel) - Retail,10.4516,South Sudan - National Average
2012-12-15,SSP/L,Fuel (diesel) - Retail,10.1875,South Sudan - National Average
2013-01-15,SSP/L,Fuel (diesel) - Retail,9.625,South Sudan - National Average
2013-02-15,SSP/L,Fuel (diesel) - Retail,9.1875,South Sudan - National Average
2013-03-15,SSP/L,Fuel (diesel) - Retail,9.2656,South Sudan - National Average
2013-04-15,SSP/L,Fuel (diesel) - Retail,9.1071,South Sudan - National Average
2013-05-15,SSP/L,Fuel (diesel) - Retail,8.75,South Sudan - National Average
2013-06-15,SSP/L,Fuel (diesel) - Retail,8.8333,South Sudan - National Average
2013-07-15,SSP/L,Fuel (diesel) - Retail,8.7656,South Sudan - National Average
2013-08-15,SSP/L,Fuel (diesel) - Retail,9.4286,South Sudan - National Average
2013-09-15,SSP/L,Fuel (diesel) - Retail,9.0714,South Sudan - National Average
2013-10-15,SSP/L,Fuel (diesel) - Retail,8.7857,South Sudan - National Average
2013-11-15,SSP/L,Fuel (diesel) - Retail,8.8214,South Sudan - National Average
2013-12-15,SSP/L,Fuel (diesel) - Retail,8.9643,South Sudan - National Average
2012-01-15,SSP/L,Fuel (petrol-gasoline) - Retail,9.9187,South Sudan - National Average
2012-02-15,SSP/L,Fuel (petrol-gasoline) - Retail,9.1406,South Sudan - National Average
2012-03-15,SSP/L,Fuel (petrol-gasoline) - Retail,8.675,South Sudan - National Average
2012-04-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.8438,South Sudan - National Average
2012-05-15,SSP/L,Fuel (petrol-gasoline) - Retail,14.3125,South Sudan - National Average
2012-06-15,SSP/L,Fuel (petrol-gasoline) - Retail,14.2581,South Sudan - National Average
2012-07-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.9643,South Sudan - National Average
2012-08-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.3214,South Sudan - National Average
2012-09-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.0625,South Sudan - National Average
2012-10-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.7813,South Sudan - National Average
2012-11-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.5129,South Sudan - National Average
2012-12-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.8438,South Sudan - National Average
2013-01-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.7813,South Sudan - National Average
2013-02-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.3214,South Sudan - National Average
2013-03-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.5625,South Sudan - National Average
2013-04-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.3571,South Sudan - National Average
2013-05-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.6786,South Sudan - National Average
2013-06-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.0714,South Sudan - National Average
2013-07-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.3594,South Sudan - National Average
2013-08-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.8571,South Sudan - National Average
2013-09-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.3571,South Sudan - National Average
2013-10-15,SSP/L,Fuel (petrol-gasoline) - Retail,11.0,South Sudan - National Average
2013-11-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.7857,South Sudan - National Average
2013-12-15,SSP/L,Fuel (petrol-gasoline) - Retail,10.25,South Sudan - National Average
2013-10-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2013-11-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2013-12-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-01-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-02-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-03-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-04-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-05-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-06-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-07-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-08-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-09-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-10-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-11-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2014-12-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-01-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-02-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-03-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-04-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-05-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-06-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-07-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-08-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-09-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-10-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-11-15,SSP/USD/LCU,Exchange rate - Retail,2.96,South Sudan - National Average
2015-12-15,SSP/USD/LCU,Exchange rate - Retail,18.5,South Sudan - National Average
2016-01-15,SSP/USD/LCU,Exchange rate - Retail,18.5,South Sudan - National Average
2016-02-15,SSP/USD/LCU,Exchange rate - Retail,30.1,South Sudan - National Average
2016-03-15,SSP/USD/LCU,Exchange rate - Retail,32.0,South Sudan - National Average
2016-04-15,SSP/USD/LCU,Exchange rate - Retail,32.0,South Sudan - National Average
2016-05-15,SSP/USD/LCU,Exchange rate - Retail,32.0,South Sudan - National Average
2016-06-15,SSP/USD/LCU,Exchange rate - Retail,41.0,South Sudan - National Average
2016-07-15,SSP/USD/LCU,Exchange rate - Retail,45.0,South Sudan - National Average
2016-08-15,SSP/USD/LCU,Exchange rate - Retail,57.0,South Sudan - National Average
2013-10-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.375,South Sudan - National Average
2013-11-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.476,South Sudan - National Average
2013-12-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.671,South Sudan - National Average
2014-01-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.75,South Sudan - National Average
2014-02-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.175,South Sudan - National Average
2014-03-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,3.975,South Sudan - National Average
2014-04-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,3.875,South Sudan - National Average
2014-05-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.225,South Sudan - National Average
2014-06-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.45,South Sudan - National Average
2014-07-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.688,South Sudan - National Average
2014-08-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.663,South Sudan - National Average
2014-09-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,4.688,South Sudan - National Average
2014-10-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,5.305,South Sudan - National Average
2014-11-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,5.725,South Sudan - National Average
2014-12-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,5.875,South Sudan - National Average
2015-01-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,6.275,South Sudan - National Average
2015-02-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,6.2606,South Sudan - National Average
2015-03-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,6.7,South Sudan - National Average
2015-04-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,8.8,South Sudan - National Average
2015-05-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,10.2,South Sudan - National Average
2015-06-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,10.5,South Sudan - National Average
2015-07-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,12.25,South Sudan - National Average
2015-08-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,14.72,South Sudan - National Average
2015-09-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,16.35,South Sudan - National Average
2015-10-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,17.08,South Sudan - National Average
2015-11-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,18.0,South Sudan - National Average
2015-12-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,18.5,South Sudan - National Average
2016-01-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,20.98,South Sudan - National Average
2016-02-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,30.5,South Sudan - National Average
2016-03-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,35.0,South Sudan - National Average
2016-04-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,37.0,South Sudan - National Average
2016-05-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,38.0,South Sudan - National Average
2016-06-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,48.0,South Sudan - National Average
2016-07-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,65.0,South Sudan - National Average
2016-08-15,SSP/USD/LCU,Exchange rate (unofficial) - Retail,67.0,South Sudan - National Average
2018-03-15,SSP/KG,Rice - Retail,296.0,South Sudan - Rumbek
2018-04-15,SSP/KG,Rice - Retail,295.0,South Sudan - Rumbek
2018-08-15,SSP/KG,Rice - Retail,300.0,South Sudan - Rumbek
2018-09-15,SSP/KG,Rice - Retail,300.0,South Sudan - Rumbek
2018-10-15,SSP/KG,Rice - Retail,220.0,South Sudan - Rumbek
2018-12-15,SSP/KG,Rice - Retail,300.0,South Sudan - Rumbek
2019-03-15,SSP/KG,Rice - Retail,400.0,South Sudan - Rumbek
2018-03-15,SSP/KG,Maize meal - Retail,300.0,South Sudan - Rumbek
2018-04-15,SSP/KG,Maize meal - Retail,185.0,South Sudan - Rumbek
2018-08-15,SSP/KG,Maize meal - Retail,318.0,South Sudan - Rumbek
2018-09-15,SSP/KG,Maize meal - Retail,305.0,South Sudan - Rumbek
2018-10-15,SSP/KG,Maize meal - Retail,105.0,South Sudan - Rumbek
2018-12-15,SSP/KG,Maize meal - Retail,120.0,South Sudan - Rumbek
2019-03-15,SSP/KG,Maize meal - Retail,250.0,South Sudan - Rumbek
2009-10-15,SSP/KG,Wheat flour - Retail,8.0,South Sudan - Rumbek
2009-11-15,SSP/KG,Wheat flour - Retail,8.5,South Sudan - Rumbek
2009-12-15,SSP/KG,Wheat flour - Retail,11.0,South Sudan - Rumbek
2010-01-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2010-02-15,SSP/KG,Wheat flour - Retail,11.0,South Sudan - Rumbek
2010-04-15,SSP/KG,Wheat flour - Retail,11.75,South Sudan - Rumbek
2010-06-15,SSP/KG,Wheat flour - Retail,11.0,South Sudan - Rumbek
2010-07-15,SSP/KG,Wheat flour - Retail,11.25,South Sudan - Rumbek
2010-09-15,SSP/KG,Wheat flour - Retail,15.75,South Sudan - Rumbek
2010-10-15,SSP/KG,Wheat flour - Retail,8.0,South Sudan - Rumbek
2010-11-15,SSP/KG,Wheat flour - Retail,8.0,South Sudan - Rumbek
2010-12-15,SSP/KG,Wheat flour - Retail,7.0,South Sudan - Rumbek
2011-01-15,SSP/KG,Wheat flour - Retail,5.375,South Sudan - Rumbek
2011-02-15,SSP/KG,Wheat flour - Retail,6.0,South Sudan - Rumbek
2011-03-15,SSP/KG,Wheat flour - Retail,5.0,South Sudan - Rumbek
2011-04-15,SSP/KG,Wheat flour - Retail,5.0,South Sudan - Rumbek
2011-05-15,SSP/KG,Wheat flour - Retail,7.5,South Sudan - Rumbek
2011-06-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2011-07-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2011-08-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2011-10-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2011-11-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2011-12-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2012-01-15,SSP/KG,Wheat flour - Retail,10.5,South Sudan - Rumbek
2012-02-15,SSP/KG,Wheat flour - Retail,10.5,South Sudan - Rumbek
2012-03-15,SSP/KG,Wheat flour - Retail,15.0,South Sudan - Rumbek
2012-04-15,SSP/KG,Wheat flour - Retail,15.0,South Sudan - Rumbek
2012-05-15,SSP/KG,Wheat flour - Retail,25.0,South Sudan - Rumbek
2012-07-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2012-08-15,SSP/KG,Wheat flour - Retail,10.0,South Sudan - Rumbek
2012-10-15,SSP/KG,Wheat flour - Retail,20.0,South Sudan - Rumbek
2012-11-15,SSP/KG,Wheat flour - Retail,19.5,South Sudan - Rumbek
2012-12-15,SSP/KG,Wheat flour - Retail,15.0,South Sudan - Rumbek
2013-01-15,SSP/KG,Wheat flour - Retail,15.0,South Sudan - Rumbek
2013-02-15,SSP/KG,Wheat flour - Retail,15.0,South Sudan - Rumbek
2013-03-15,SSP/KG,Wheat flour - Retail,20.0,South Sudan - Rumbek
2015-12-15,SSP/KG,Wheat flour - Retail,23.5,South Sudan - Rumbek
2016-01-15,SSP/KG,Wheat flour - Retail,24.0,South Sudan - Rumbek
2016-05-15,SSP/KG,Wheat flour - Retail,40.0,South Sudan - Rumbek
2016-09-15,SSP/KG,Wheat flour - Retail,100.0,South Sudan - Rumbek
2016-10-15,SSP/KG,Wheat flour - Retail,100.0,South Sudan - Rumbek
2016-11-15,SSP/KG,Wheat flour - Retail,110.0,South Sudan - Rumbek
2016-12-15,SSP/KG,Wheat flour - Retail,110.0,South Sudan - Rumbek
2017-01-15,SSP/KG,Wheat flour - Retail,120.0,South Sudan - Rumbek
2017-02-15,SSP/KG,Wheat flour - Retail,120.0,South Sudan - Rumbek
2017-03-15,SSP/KG,Wheat flour - Retail,120.0,South Sudan - Rumbek
2017-04-15,SSP/KG,Wheat flour - Retail,250.0,South Sudan - Rumbek
2017-06-15,SSP/KG,Wheat flour - Retail,338.0,South Sudan - Rumbek
2017-07-15,SSP/KG,Wheat flour - Retail,338.0,South Sudan - Rumbek
2017-10-15,SSP/KG,Wheat flour - Retail,300.0,South Sudan - Rumbek
2018-01-15,SSP/KG,Wheat flour - Retail,200.0,South Sudan - Rumbek
2018-03-15,SSP/KG,Wheat flour - Retail,272.0,South Sudan - Rumbek
2018-04-15,SSP/KG,Wheat flour - Retail,270.0,South Sudan - Rumbek
2018-08-15,SSP/KG,Wheat flour - Retail,307.0,South Sudan - Rumbek
2018-09-15,SSP/KG,Wheat flour - Retail,335.0,South Sudan - Rumbek
2018-10-15,SSP/KG,Wheat flour - Retail,395.0,South Sudan - Rumbek
2018-12-15,SSP/KG,Wheat flour - Retail,120.0,South Sudan - Rumbek
2019-03-15,SSP/KG,Wheat flour - Retail,280.0,South Sudan - Rumbek
2019-03-15,SSP/50 KG,Maize (white) - Wholesale,5500.0,South Sudan - Rumbek
2009-10-15,SSP/3.5 KG,Maize (white) - Retail,6.0,South Sudan - Rumbek
2009-11-15,SSP/3.5 KG,Maize (white) - Retail,6.25,South Sudan - Rumbek
2009-12-15,SSP/3.5 KG,Maize (white) - Retail,8.0,South Sudan - Rumbek
2010-01-15,SSP/3.5 KG,Maize (white) - Retail,8.0,South Sudan - Rumbek
2010-02-15,SSP/3.5 KG,Maize (white) - Retail,8.0,South Sudan - Rumbek
2010-04-15,SSP/3.5 KG,Maize (white) - Retail,15.5,South Sudan - Rumbek
2010-06-15,SSP/3.5 KG,Maize (white) - Retail,15.5,South Sudan - Rumbek
2010-07-15,SSP/3.5 KG,Maize (white) - Retail,8.0,South Sudan - Rumbek
2010-09-15,SSP/3.5 KG,Maize (white) - Retail,8.5,South Sudan - Rumbek
2010-10-15,SSP/3.5 KG,Maize (white) - Retail,9.0,South Sudan - Rumbek
2010-11-15,SSP/3.5 KG,Maize (white) - Retail,10.0,South Sudan - Rumbek
2010-12-15,SSP/3.5 KG,Maize (white) - Retail,10.0,South Sudan - Rumbek
2011-01-15,SSP/3.5 KG,Maize (white) - Retail,10.0,South Sudan - Rumbek
2011-02-15,SSP/3.5 KG,Maize (white) - Retail,9.625,South Sudan - Rumbek
2011-03-15,SSP/3.5 KG,Maize (white) - Retail,9.3333,South Sudan - Rumbek
2011-04-15,SSP/3.5 KG,Maize (white) - Retail,10.0,South Sudan - Rumbek
2011-05-15,SSP/3.5 KG,Maize (white) - Retail,10.5,South Sudan - Rumbek
2011-06-15,SSP/3.5 KG,Maize (white) - Retail,21.0,South Sudan - Rumbek
2011-07-15,SSP/3.5 KG,Maize (white) - Retail,13.0,South Sudan - Rumbek
2011-08-15,SSP/3.5 KG,Maize (white) - Retail,11.0,South Sudan - Rumbek
2011-10-15,SSP/3.5 KG,Maize (white) - Retail,13.5,South Sudan - Rumbek
2011-11-15,SSP/3.5 KG,Maize (white) - Retail,14.25,South Sudan - Rumbek
2011-12-15,SSP/3.5 KG,Maize (white) - Retail,18.0,South Sudan - Rumbek
2012-01-15,SSP/3.5 KG,Maize (white) - Retail,20.0,South Sudan - Rumbek
2012-02-15,SSP/3.5 KG,Maize (white) - Retail,20.0,South Sudan - Rumbek
2012-03-15,SSP/3.5 KG,Maize (white) - Retail,22.0,South Sudan - Rumbek
2012-04-15,SSP/3.5 KG,Maize (white) - Retail,19.5,South Sudan - Rumbek
2012-05-15,SSP/3.5 KG,Maize (white) - Retail,36.25,South Sudan - Rumbek
2012-07-15,SSP/3.5 KG,Maize (white) - Retail,13.0,South Sudan - Rumbek
2012-08-15,SSP/3.5 KG,Maize (white) - Retail,10.5,South Sudan - Rumbek
2012-10-15,SSP/3.5 KG,Maize (white) - Retail,15.0,South Sudan - Rumbek
2012-11-15,SSP/3.5 KG,Maize (white) - Retail,23.0,South Sudan - Rumbek
2012-12-15,SSP/3.5 KG,Maize (white) - Retail,24.75,South Sudan - Rumbek
2013-01-15,SSP/3.5 KG,Maize (white) - Retail,20.0,South Sudan - Rumbek
2013-02-15,SSP/3.5 KG,Maize (white) - Retail,25.2,South Sudan - Rumbek
2013-03-15,SSP/3.5 KG,Maize (white) - Retail,20.0,South Sudan - Rumbek
2013-04-15,SSP/3.5 KG,Maize (white) - Retail,24.0,South Sudan - Rumbek
2013-05-15,SSP/3.5 KG,Maize (white) - Retail,24.0,South Sudan - Rumbek
2013-06-15,SSP/3.5 KG,Maize (white) - Retail,26.0,South Sudan - Rumbek
2013-07-15,SSP/3.5 KG,Maize (white) - Retail,22.0,South Sudan - Rumbek
2013-08-15,SSP/3.5 KG,Maize (white) - Retail,24.0,South Sudan - Rumbek
2013-09-15,SSP/3.5 KG,Maize (white) - Retail,23.5,South Sudan - Rumbek
2013-10-15,SSP/3.5 KG,Maize (white) - Retail,19.0,South Sudan - Rumbek
2013-11-15,SSP/3.5 KG,Maize (white) - Retail,19.5,South Sudan - Rumbek
2013-12-15,SSP/3.5 KG,Maize (white) - Retail,26.0,South Sudan - Rumbek
2014-08-15,SSP/3.5 KG,Maize (white) - Retail,20.0,South Sudan - Rumbek
2014-09-15,SSP/3.5 KG,Maize (white) - Retail,18.0,South Sudan - Rumbek
2014-10-15,SSP/3.5 KG,Maize (white) - Retail,18.5,South Sudan - Rumbek
2014-11-15,SSP/3.5 KG,Maize (white) - Retail,30.0,South Sudan - Rumbek
2014-12-15,SSP/3.5 KG,Maize (white) - Retail,16.8,South Sudan - Rumbek
2015-01-15,SSP/3.5 KG,Maize (white) - Retail,16.8,South Sudan - Rumbek
2015-04-15,SSP/3.5 KG,Maize (white) - Retail,25.0,South Sudan - Rumbek
2015-10-15,SSP/3.5 KG,Maize (white) - Retail,24.8,South Sudan - Rumbek
2015-12-15,SSP/3.5 KG,Maize (white) - Retail,41.0,South Sudan - Rumbek
2016-01-15,SSP/3.5 KG,Maize (white) - Retail,23.0,South Sudan - Rumbek
2016-02-15,SSP/3.5 KG,Maize (white) - Retail,38.0,South Sudan - Rumbek
2016-03-15,SSP/3.5 KG,Maize (white) - Retail,65.0,South Sudan - Rumbek
2016-04-15,SSP/3.5 KG,Maize (white) - Retail,39.0,South Sudan - Rumbek
2016-05-15,SSP/3.5 KG,Maize (white) - Retail,38.5,South Sudan - Rumbek
2016-06-15,SSP/3.5 KG,Maize (white) - Retail,50.0,South Sudan - Rumbek
2016-07-15,SSP/3.5 KG,Maize (white) - Retail,20.0,South Sudan - Rumbek
2016-08-15,SSP/3.5 KG,Maize (white) - Retail,53.75,South Sudan - Rumbek
2016-09-15,SSP/3.5 KG,Maize (white) - Retail,130.0,South Sudan - Rumbek
2016-10-15,SSP/3.5 KG,Maize (white) - Retail,140.0,South Sudan - Rumbek
2016-11-15,SSP/3.5 KG,Maize (white) - Retail,250.0,South Sudan - Rumbek
2016-12-15,SSP/3.5 KG,Maize (white) - Retail,250.0,South Sudan - Rumbek
2017-01-15,SSP/3.5 KG,Maize (white) - Retail,280.0,South Sudan - Rumbek
2017-02-15,SSP/3.5 KG,Maize (white) - Retail,280.0,South Sudan - Rumbek
2017-03-15,SSP/3.5 KG,Maize (white) - Retail,280.0,South Sudan - Rumbek
2017-04-15,SSP/3.5 KG,Maize (white) - Retail,375.0,South Sudan - Rumbek
2017-06-15,SSP/3.5 KG,Maize (white) - Retail,363.0,South Sudan - Rumbek
2017-07-15,SSP/3.5 KG,Maize (white) - Retail,363.0,South Sudan - Rumbek
2017-10-15,SSP/3.5 KG,Maize (white) - Retail,400.0,South Sudan - Rumbek
2018-01-15,SSP/3.5 KG,Maize (white) - Retail,315.0,South Sudan - Rumbek
2018-03-15,SSP/3.5 KG,Maize (white) - Retail,620.0,South Sudan - Rumbek
2018-04-15,SSP/3.5 KG,Maize (white) - Retail,613.0,South Sudan - Rumbek
2018-08-15,SSP/3.5 KG,Maize (white) - Retail,450.0,South Sudan - Rumbek
2018-09-15,SSP/3.5 KG,Maize (white) - Retail,450.0,South Sudan - Rumbek
2018-10-15,SSP/3.5 KG,Maize (white) - Retail,500.0,South Sudan - Rumbek
2018-12-15,SSP/3.5 KG,Maize (white) - Retail,583.0,South Sudan - Rumbek
2016-07-15,SSP/3.5 KG,Cassava - Retail,25.0,South Sudan - Rumbek
2016-08-15,SSP/3.5 KG,Cassava - Retail,35.0,South Sudan - Rumbek
2018-01-15,SSP/3.5 KG,Cassava - Retail,320.0,South Sudan - Rumbek
2018-03-15,SSP/3.5 KG,Cassava - Retail,580.0,South Sudan - Rumbek
2018-04-15,SSP/3.5 KG,Cassava - Retail,575.0,South Sudan - Rumbek
2009-10-15,SSP/KG,Beans (red) - Retail,4.0,South Sudan - Rumbek
2009-11-15,SSP/KG,Beans (red) - Retail,4.0,South Sudan - Rumbek
2009-12-15,SSP/KG,Beans (red) - Retail,4.5,South Sudan - Rumbek
2010-01-15,SSP/KG,Beans (red) - Retail,4.0,South Sudan - Rumbek
2010-02-15,SSP/KG,Beans (red) - Retail,4.0,South Sudan - Rumbek
2010-04-15,SSP/KG,Beans (red) - Retail,4.25,South Sudan - Rumbek
2010-06-15,SSP/KG,Beans (red) - Retail,4.5,South Sudan - Rumbek
2010-07-15,SSP/KG,Beans (red) - Retail,5.0,South Sudan - Rumbek
2010-09-15,SSP/KG,Beans (red) - Retail,6.0,South Sudan - Rumbek
2010-10-15,SSP/KG,Beans (red) - Retail,5.5,South Sudan - Rumbek
2010-11-15,SSP/KG,Beans (red) - Retail,5.0,South Sudan - Rumbek
2010-12-15,SSP/KG,Beans (red) - Retail,5.3333,South Sudan - Rumbek
2011-01-15,SSP/KG,Beans (red) - Retail,5.0,South Sudan - Rumbek
2011-02-15,SSP/KG,Beans (red) - Retail,4.625,South Sudan - Rumbek
2011-04-15,SSP/KG,Beans (red) - Retail,5.0,South Sudan - Rumbek
2011-05-15,SSP/KG,Beans (red) - Retail,5.0,South Sudan - Rumbek
2011-07-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2011-08-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2011-10-15,SSP/KG,Beans (red) - Retail,10.875,South Sudan - Rumbek
2011-11-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2011-12-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2012-01-15,SSP/KG,Beans (red) - Retail,9.5,South Sudan - Rumbek
2012-02-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2012-07-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2012-08-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2012-11-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2012-12-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-01-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-02-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-03-15,SSP/KG,Beans (red) - Retail,8.0,South Sudan - Rumbek
2013-04-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-05-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-06-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-07-15,SSP/KG,Beans (red) - Retail,9.0,South Sudan - Rumbek
2013-08-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-09-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-10-15,SSP/KG,Beans (red) - Retail,11.75,South Sudan - Rumbek
2013-11-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2013-12-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2014-08-15,SSP/KG,Beans (red) - Retail,11.0,South Sudan - Rumbek
2014-09-15,SSP/KG,Beans (red) - Retail,10.0,South Sudan - Rumbek
2014-10-15,SSP/KG,Beans (red) - Retail,12.5,South Sudan - Rumbek
2014-11-15,SSP/KG,Beans (red) - Retail,12.0,South Sudan - Rumbek
