"","V1","V2"
"0",25.0926851132256,7.91826167646543
"1",27.1588985180949,9.15745323283548
"2",25.1904562991198,7.54833818052278
"3",24.1762636329091,8.4284566284492
"4",26.1212517024581,8.8453467993341
"5",24.9617344608461,8.06452415305718
"6",26.4492272518943,7.51308703904401
"7",26.4099594671985,6.96900879612308
"8",25.6607322320342,8.47944329360865
"9",25.9588189693176,8.81196324035125
"10",24.3034170279259,8.30153804440484
"11",25.0603741556861,7.97445948272048
"12",24.9810081956927,7.98698023278806
"13",25.0040713356921,7.97929911768911
"14",25.4185796614764,8.64328646201009
"15",25.0351863479511,7.99453762148016
"16",25.2508217624145,7.50210336531454
"17",26.8777192844433,8.08960928475092
"18",25.3352638137894,7.42578600596855
"19",26.1389671601796,8.82754422282906
"20",26.578109679202,7.4718393269397
"21",26.7893473433371,7.87178743102391
"22",25.3386881621016,7.83267630839742
"23",25.4014445644589,7.36559815245449
"24",26.7420048900376,7.85601847640921
"25",25.4395987350095,7.36717692860978
"26",25.9133246358913,7.39394636230133
"27",26.5873208283001,7.26869869627716
"28",26.492302929012,7.28577764414458
"29",25.2372106676531,7.59947005081613
"30",25.2911965082713,7.56767490782132
"31",25.7923033007723,7.7098490881394
"32",25.1875696224845,7.58414014408758
"33",25.2610167144798,7.98360563810681
"34",25.3726040200204,7.38348646295899
"35",26.1678394368271,8.77237061088108
"36",26.8487172566742,8.07539433106611
"37",25.1715609937263,8.05897403124394
"38",24.1931230287736,8.41454202476497
"39",26.1221634529584,8.6527432664038
"40",24.5044959098797,8.25669627713595
"41",24.944205203019,8.30039611272535
"42",26.5632256400532,7.90788316707892
"43",24.5333151640063,8.23106774106565
"44",27.5825239492393,8.71419242797023
"45",24.561522363734,8.39096613810648
"46",26.8301018061709,7.91007785030995
"47",24.1749745806203,8.39464763081512
"48",24.226032814096,8.32183788894996
"49",24.1927044476526,8.37385945355117
"50",24.4453065176659,8.31495398598968
"51",24.2148297700906,8.45555925023264
"52",25.5892342442737,8.37250597955808
"53",26.4973245304127,7.98752856628715
"54",24.5650221176806,8.22593789261251
"55",26.9161933522942,8.10464911337509
"56",24.8004187158376,8.19169179367763
"57",26.0463215415009,7.50233483165427
"58",24.9031739785899,8.06252270388808
"59",26.0184467435172,8.71407782517104
"60",24.8974100035213,8.09325625031593
"61",25.0609720378314,7.93618125503128
"62",25.2726669121657,8.67470399063133
"63",24.9240316163828,8.1095126877584
"64",24.6301799782495,8.40975918813926
"65",24.5919323881411,8.25456706201475
"66",24.6348519465492,8.33611299152131
"67",26.0318458838482,7.03682824422667
"68",24.7600635977346,8.20450466557468
"69",24.674453006512,8.45424096061075
"70",25.9866567634143,7.19447468545634
"71",24.9167851291402,8.34365564672132
"72",24.969477121442,8.01002501938807
"73",25.1187278557851,8.71127880994186
"74",24.9262356215001,8.0471563121082
"75",24.6131314864061,8.47034242523066
"76",25.4647045327127,7.32222544762554
"77",26.0352549840828,8.28697379226452
"78",25.7413300559852,7.19020687506925
"79",26.5744032870004,7.56864021675664
"80",25.879356489146,7.11502240407119
"81",26.102078549456,8.6902582248638
"82",26.066455499303,8.61032999214305
"83",25.9151088781144,7.11304072446508
"84",27.5275276960763,8.67737188820176
"85",25.7240216590769,7.20297615892758
"86",25.5130729633542,7.28488316157918
"87",26.6052115545588,7.41567170429936
"88",25.6597461291979,7.27618372813201
"89",25.8286135165461,7.14289797194342
"90",26.8037939145247,7.98414078829867
"91",25.5903852039791,7.26140687993677
"92",26.4645615782823,8.16933676514849
"93",25.7175809744507,7.23996432315689
"94",25.7649492876232,7.19374037712228
"95",25.8118465202374,7.17196485710212
"96",26.1499271974177,7.06161938174571
"97",24.7712091514409,8.38772168341039
"98",25.9769136051904,8.62641398094204
"99",26.5127129521206,7.20193429873563
"100",26.3754414303155,6.97278211904182
"101",26.0751919727052,6.92411847548346
"102",25.8149550086543,8.54794319700963
"103",26.0578716819492,6.95219609140845
"104",25.9846847329682,7.03901077121067
"105",26.6121360537954,7.60276017090097
"106",26.0318776187174,7.56061078990925
"107",25.9110544035538,7.08772124036565
"108",26.094494320268,7.58745509422621
"109",25.7796174966289,7.25287456058744
"110",26.4493604823153,7.45323511889669
"111",25.9267024403453,7.06840372824054
"112",26.072418925108,7.56341495976173
"113",26.2551922818052,8.80904092092997
"114",26.5440238373641,7.92929377601759
"115",26.0223672795672,7.53375193894023
"116",25.8371722105181,7.79973370080128
"117",25.6286911627152,7.25196074872601
"118",25.9487562073997,7.83387658523333
"119",25.9070713749743,7.78714782800729
"120",25.7914506183935,7.83910204065198
"121",25.8460605543796,7.83407395965048
"122",25.8777766751574,7.6518235374304
"123",25.8771081670143,7.84471400939196
"124",25.6333501977365,8.48296574927113
"125",25.8552121021712,7.89442759639536
"126",25.9029629373577,7.91208982435753
"127",25.8724872143961,7.92388532589628
"128",25.9087544218613,7.8775207265672
"129",25.8799273959025,7.8698321299784
"130",25.3008267934284,7.89913835329128
"131",25.4865557204058,8.4184918213533
"132",25.9432633719712,7.86528014803152
"133",25.8233729518821,7.89743345932563
"134",26.0009190550231,7.99446158088321
"135",26.0044149534951,7.88681600420181
"136",26.122520268121,8.02012033680524
"137",26.0137287960756,7.924206471668
"138",26.1198902229814,8.1411944653307
"139",25.940383846569,7.9598892050049
"140",25.9634352847919,7.88576473767432
"141",26.0425248312898,8.11214213976744
"142",25.7078661426829,8.45968016544551
"143",26.0482747545405,8.142881529682
"144",26.0924539337114,8.15860616290179
"145",26.0658909774005,8.20776618464527
"146",26.1140932871963,8.34545576169329
